column,dtype,role,n_unique_sample,pct_missing_sample,complexity,suggested_encoding
attribute_stipulation_for_settlement,bool,boolean_flag,1,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_stipulation_of_dismissal,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_stipulation_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_transfer_inbound,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_transfer_outbound,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_transfer_unknown,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_transferred_entry,bool,boolean_flag,1,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_trial_bench,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_trial_jury,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_trial_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_voluntary_dismissal,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_waiver_of_indictment,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
attribute_waiver_other,bool,boolean_flag,2,0.0,low,binary 0/1; at case level: sum / any / entropy
city,object,categorical,1,0.0,low,one-hot encoding
case_status,object,categorical,2,0.0,low,one-hot encoding
case_type,object,categorical,2,0.0,low,one-hot encoding
nature_suit,object,categorical,77,0.0,high,"target encoding, feature hashing, or small embedding"
is_mdl,bool,boolean,2,0.0,low,binary 0/1 (no one-hot)
District_Judge,object,categorical,58,9.84,high,parse judge id → target encoding or embedding (8–32 dim)
Magistrate_Judge,object,categorical,22,88.17,medium,parse judge id → target encoding or embedding (8–32 dim)
plaintiffs_count,float64,numeric,57,0.0,low–medium,numeric — standardize / robust scale
plaintiffs_share_ind,float64,numeric,114,0.0,low–medium,numeric — standardize / robust scale
plaintiffs_share_pro_se,float64,numeric,25,0.0,low–medium,numeric — standardize / robust scale
plaintiffs_share_pro_hac_vice,float64,numeric,11,0.0,low–medium,numeric — standardize / robust scale
plaintiffs_counsels_count,float64,numeric,139,0.0,low–medium,numeric — standardize / robust scale
Defendants_count,float64,numeric,50,0.0,low–medium,numeric — standardize / robust scale
Defendants_share_ind,float64,numeric,133,0.0,low–medium,numeric — standardize / robust scale
Defendants_share_pro_se,float64,numeric,46,0.0,low–medium,numeric — standardize / robust scale
Defendants_share_pro_hac_vice,float64,numeric,21,0.0,low–medium,numeric — standardize / robust scale
Defendants_counsels_count,float64,numeric,108,0.0,low–medium,numeric — standardize / robust scale
Defendants_highest_offense_opening,object,categorical,5,1.84,low,one-hot encoding
Defendants_highest_offense_terminated,object,categorical,5,7.63,low,one-hot encoding
Defendants_pending_counts,float64,numeric,36,0.0,low–medium,numeric — standardize / robust scale
Defendants_terminated_counts,float64,numeric,62,0.0,low–medium,numeric — standardize / robust scale
Party_Amicus,int64,boolean,2,0.0,low,binary 0/1 (no one-hot)
Party_Counter_Claimant,int64,boolean,2,0.0,low,binary 0/1 (no one-hot)
Party_Counter_Defendant,int64,boolean,2,0.0,low,binary 0/1 (no one-hot)
Party_Court_Monitor,int64,boolean,1,0.0,low,binary 0/1 (no one-hot)
Party_Intervenor,int64,boolean,2,0.0,low,binary 0/1 (no one-hot)
Party_Material_Witness,int64,boolean,2,0.0,low,binary 0/1 (no one-hot)
Party_Third_Party_Defendant,int64,boolean,2,0.0,low,binary 0/1 (no one-hot)
Party_Third_Party_Plaintiff,int64,boolean,2,0.0,low,binary 0/1 (no one-hot)
Party_Trustee,int64,boolean,2,0.0,low,binary 0/1 (no one-hot)
Other_courts,int64,numeric,2,0.0,low–medium,numeric — standardize / robust scale
related_case_count,int64,numeric,8,0.0,low–medium,numeric — standardize / robust scale
